Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/11/13 00:00:00;2021/11/13 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.4208333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/13 00:00:00;2021/11/13 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;31.0;30.5416666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/14 00:00:00;2021/11/14 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4208333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/14 00:00:00;2021/11/14 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;32.0;32.0;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/11/15 00:00:00;2021/11/15 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4166666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/15 00:00:00;2021/11/15 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;30.0;30.4166666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/16 00:00:00;2021/11/16 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;22.0;21.6625;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/16 00:00:00;2021/11/16 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;31.0;30.9666666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/17 00:00:00;2021/11/17 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.0541666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/17 00:00:00;2021/11/17 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;24.0;24.1875;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/18 00:00:00;2021/11/18 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;16.0;16.425;µg-m3;100.0;100;100.0;R;1;45.1619;5.7356
2021/11/18 00:00:00;2021/11/18 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;30.0;29.8583333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/19 00:00:00;2021/11/19 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;16.0;15.8541666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/19 00:00:00;2021/11/19 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;24.0;24.1208333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/20 00:00:00;2021/11/20 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.2208333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/20 00:00:00;2021/11/20 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;32.0;31.675;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/11/21 00:00:00;2021/11/21 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.2083333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/11/21 00:00:00;2021/11/21 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;31.0;31.0958333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/11/22 00:00:00;2021/11/22 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.5708333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
