autobus_autocars_critair,autobus_autocars_horaires,date_debut,deux_rm_critair,deux_rm_horaires,gid,id,name,objectid,one_way,osm_id,pl_critair,pl_horaires,ref,url_arrete,url_site,vp_critair,vp_horaires,vul_critair,vul_horaires,zfe_derogation,publisher_forme_juridique,publisher_nom,publisher_siren,publisher_zfe_id,OBJECTID,Shape_Length,date_fin,url_site_information,SHAPE_Length,geo_point_2d,proprietaire_vehicule
,24/7,2022-07-01,,24/7,45736.0,primary,Route de Nîmes,56106.0,1.0,22957659.0,,24/7,D 613,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,50203.0,primary,Avenue du Martinet,72460.0,1.0,22953435.0,,24/7,D 65,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,179250.0,motorway,,77753.0,1.0,674596999.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,181018.0,motorway,,49124.0,1.0,674597002.9999999,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,85.0,motorway,,54018.0,1.0,11660419.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,178526.0,motorway,,77666.0,1.0,620987119.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,4536.0,motorway,,50829.0,1.0,22909899.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,34415.0,primary,,44112.0,1.0,7984697.0,,24/7,D 65,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,34263.0,primary,,54213.0,1.0,22821664.0,,24/7,D 65,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,173977.0,motorway,,48553.0,1.0,674597649.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
