publisher_zfe_id,publisher_nom,publisher_siren,publisher_forme_juridique,id,osm_id,ref,one_way,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,zfe_derogation,url_arrete,url_site,url_site_information
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674596999.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674597002.9999999,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,11660419.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,620987119.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,22909899.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,7984697.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,22821664.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674597649.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway_link,479229522.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,11660416.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,367645021.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,22953435.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary_link,137126631.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,286822935.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,700091315.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,223687334.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,4296601.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,16922541.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,trunk,96926329.0,D 5,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,trunk,96926323.0,D 5,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,trunk,22747028.0,D 5,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,trunk,96926331.0,D 5,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary_link,389705682.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,32258080.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,22909904.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,22953437.0,D 65,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,4296599.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,103841275.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,79539044.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,22953436.0,D 65,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674597649.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,700091316.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,563403507.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,479221880.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,700074686.0000001,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,638738623.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,285281057.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,479799025.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674596999.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,16922544.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,139709317.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,137126634.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,367645020.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,620986695.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,700091308.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674597649.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,32258074.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,479229529.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,674597649.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,22878666.000000004,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,553157603.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,25965078.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,22909901.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,4296586.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,621203714.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,11681018.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,16922546.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,49577824.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,252044879.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,367645019.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,286822935.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,553157604.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,8604036.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,32258076.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,25965076.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,22953435.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,553149492.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,4296595.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
