Name,autobus_autocars_critair,autobus_autocars_horaires,date_debut,date_fin,deux_rm_critair,deux_rm_horaires,id,pl_critair,pl_horaires,url_arrete,url_site_information,vp_critair,vp_horaires,vul_critair,vul_horaires,publisher_forme_juridique,publisher_nom,publisher_siren,publisher_zfe_id,geo_point_2d,url_site,OBJECTID,Shape_Area,Shape_Length,SHAPE_Area,SHAPE_Length,date_fin_init,date_maj,etiquette,gid,nom,gml_id,creation_date,modification_date,proprietaire_vehicule,taxis_critair,url_site_informations,obj_datec,obj_datem,objectid,shape_area,shape_len,autobus_critair,autobus_horaires,cdate,mdate
,,24/7,2025-01-01,,V3,24/7,200046977-ZFE-001,V3,24/7,https://zfe.grandlyon.com/app/uploads/2024/01/Arrete-ZFE-n%C2%B02023-ZFE-007_publie-28122023.pdf,https://www.grandlyon.com/actions/zfe.html#c20726,V3,24/7,V3,24/7,Établissement Public,SM des transports pour le Rhône et l'agglomération lyonnaise (SYTRAL),256900994,LYON,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC,Mo-Su : 00:00-00:00,2025-01-01,2027-12-31,NC,Mo-Su : 00:00-00:00,1,NC,Mo-Su : 00:00-00:00,https://www.grandannecy.fr/zfem/pourquoi-une-zfe-m-dans-le-grand-annecy,,NC,Mo-Su : 00:00-00:00,NC,Mo-Su : 00:00-00:00,Communauté d'agglomération,CA du Grand Annecy,200066793,ANNECY,,https://www.grandannecy.fr/zfem,,,,,,,,,,,,,,,,,,,,,,,,,
,V5,Mo-Su : 00:00-00:00,2028-01-01,2028-12-31,V5,Mo-Su : 00:00-00:00,2,V5,Mo-Su : 00:00-00:00,https://www.grandannecy.fr/zfem/pourquoi-une-zfe-m-dans-le-grand-annecy,,V5,Mo-Su : 00:00-00:00,V5,Mo-Su : 00:00-00:00,Communauté d'agglomération,CA du Grand Annecy,200066793,ANNECY,,https://www.grandannecy.fr/zfem,,,,,,,,,,,,,,,,,,,,,,,,,
,V3,Mo-Su : 00:00-00:00,2030-01-01,2034-12-31,V3,Mo-Su : 00:00-00:00,4,V3,Mo-Su : 00:00-00:00,https://www.grandannecy.fr/zfem/pourquoi-une-zfe-m-dans-le-grand-annecy,,V3,Mo-Su : 00:00-00:00,V3,Mo-Su : 00:00-00:00,Communauté d'agglomération,CA du Grand Annecy,200066793,ANNECY,,https://www.grandannecy.fr/zfem,,,,,,,,,,,,,,,,,,,,,,,,,
,V4,Mo-Su : 00:00-00:00,2029-01-01,2029-12-31,V4,Mo-Su : 00:00-00:00,3,V4,Mo-Su : 00:00-00:00,https://www.grandannecy.fr/zfem/pourquoi-une-zfe-m-dans-le-grand-annecy,,V4,Mo-Su : 00:00-00:00,V4,Mo-Su : 00:00-00:00,Communauté d'agglomération,CA du Grand Annecy,200066793,ANNECY,,https://www.grandannecy.fr/zfem,,,,,,,,,,,,,,,,,,,,,,,,,
,NC,NC,2025-01-01,,NC,NC,200011773-ZFE-001,NC,NC,https://www.annemasse-agglo.fr/sites/default/files/actes-administratifs/CC_2024_0094.pdf,,NC,NC,NC,NC,Communauté d'agglomération,CA Annemasse-Les Voirons-Agglomération,200011773,ANNEMASSE,,https://www.annemasse-agglo.fr/zfe,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2023-07-01,,,,246300701-ZFE-001,NC,24/7,https://clermont-ferrand.fr/sites/default/files/arrete_zfe_du_29_06_2023.pdf,,,,NC,24/7,Métropole,Clermont Auvergne métropole,246300701,CLERMONT-FERRAND,"{'lat': 45.77888386736072, 'lon': 3.097158466992031}",,,,,,,,,,3.0,,,2023-03-06,2024-04-16,PERSONNE MORALE,,https://www.investinclermont.eu/services-aux-entreprises/circuler-dans-la-zone-a-faibles-emissions/,,,,,,,,,
,V4,Mo-Su 08:00-20:00; PH off,2021-06-01,,V4,Mo-Fr 08:00-20:00; PH off,217500016-ZFE-001,V4,Mo-Su 08:00-20:00; PH off,https://cdn.paris.fr/paris/2021/05/28/23fb2b69cfa451a4e517f1bc6e3001b7.pdf,https://www.zonefaiblesemissionsmetropolitaine.fr/,V4,Mo-Fr 08:00-20:00; PH off,V4,Mo-Fr 08:00-20:00; PH off,Autre collectivité territoriale,Ville de Paris,217500016,PARIS,"{'lat': 48.85661546252968, 'lon': 2.342916181995299}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V5,Mo-Su 00:00-23:59,2022-01-31,2022-12-31,,<Nul>,200030195-ZFE-001,V5,24/7,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,,off,,off,Métropole,Métropole Nice Côte d'Azur,200030195,NICE,<Nul>,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,1.0,0.0003037942418218066,0.18583287048586117,,,,<Nul>,<Nul>,,<Nul>,,,,<Nul>,,,<Nul>,<Nul>,,,,,,,
,V4,Mo-Su 00:00-23:59,2023-01-01,2023-12-31,,<Nul>,200030195-ZFE-002,V4,24/7,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,V5,24/7,V5,24/7,Métropole,Métropole Nice Côte d'Azur,200030195,NICE,<Nul>,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,8.0,0.0003037942418218066,0.18583287048586117,,,,<Nul>,<Nul>,,<Nul>,,,,<Nul>,,,<Nul>,<Nul>,,,,,,,
