publisher_zfe_id,publisher_nom,publisher_siren,publisher_forme_juridique,id,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,url_arrete,url_site_information
ANNEMASSE,CA Annemasse-Les Voirons-Agglomération,200011773,Communauté d'agglomération,200011773-ZFE-001,2025-01-01,,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,https://www.annemasse-agglo.fr/sites/default/files/actes-administratifs/CC_2024_0094.pdf,
CLERMONT-FERRAND,Clermont Auvergne métropole,246300701,Métropole,246300701-ZFE-001,2023-07-01,,,,NC,24/7,NC,24/7,,,,,https://clermont-ferrand.fr/sites/default/files/arrete_zfe_du_29_06_2023.pdf,
PARIS,Ville de Paris,217500016,Autre collectivité territoriale,217500016-ZFE-001,2021-06-01,,V4,Mo-Fr 08:00-20:00; PH off,V4,Mo-Fr 08:00-20:00; PH off,V4,Mo-Su 08:00-20:00; PH off,V4,Mo-Su 08:00-20:00; PH off,V4,Mo-Fr 08:00-20:00; PH off,https://cdn.paris.fr/paris/2021/05/28/23fb2b69cfa451a4e517f1bc6e3001b7.pdf,https://www.zonefaiblesemissionsmetropolitaine.fr/
NICE,Métropole Nice Côte d'Azur,200030195,Métropole,200030195-ZFE-001,2022-01-31,2022-12-31,,off,,off,V5,24/7,V5,Mo-Su 00:00-23:59,,<Nul>,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe
NICE,Métropole Nice Côte d'Azur,200030195,Métropole,200030195-ZFE-002,2023-01-01,2023-12-31,V5,24/7,V5,24/7,V4,24/7,V4,Mo-Su 00:00-23:59,,<Nul>,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe
NICE,Métropole Nice Côte d'Azur,200030195,Métropole,200030195-ZFE-003,2024-01-31,2029-12-31,V4,24/7,V4,24/7,V3,24/7,V3,Mo-Su 00:00-23:59,,<Nul>,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,67365-ZFE-006,2028-01-01,,V2,24/7,V2,24/7,V2,24/7,V2,24/7,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,246700488-ZFE-002,2024-01-01,,V4,24/7,V4,24/7,V4,24/7,V4,24/7,V4,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,67482-ZFE-004,2028-01-01,,V2,24/7,V2,24/7,V2,24/7,V2,24/7,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,246700488-ZFE-003,2027-01-01,,V3,24/7,V3,24/7,V3,24/7,V3,24/7,V3,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,67447-ZFE-005,2028-01-01,,V2,24/7,V2,24/7,V2,24/7,V2,24/7,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,246700488-ZFE-001,2023-01-01,,V5,24/7,V5,24/7,V5,24/7,V5,24/7,V5,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
STRASBOURG,Eurométropole de Strasbourg,246700488,Métropole,67212-ZFE-007,2028-01-01,,V2,24/7,V2,24/7,V2,24/7,V2,24/7,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/
DIJON,Dijon Métropole,242100410,Métropole,242100410-ZFE-001,2025-01-01,2025-12-31,,,,,,,,,,,https://www.dijon-metropole.fr/dijon-metropole-a-votre-service/qualite-de-lair/zone-a-faibles-emissions-mobilite/,https://www.dijon-metropole.fr/dijon-metropole-a-votre-service/qualite-de-lair/zone-a-faibles-emissions-mobilite/
MARSEILLE-AIX EN PROVENCE,Métropole d'Aix-Marseille-Provence,200054807,Métropole,200054807-ZFE-001,2022-09-01,2032-08-31,V5,24/7,V5,24/7,V5,24/7,V5,24/7,V5,24/7,https://datamedia.ampmetropole.fr/documents/ZFE/Arretes-ZFE-Marseille.pdf,https://ampmetropole.fr/missions/strategie-environnementale/qualite-de-lair/zone-a-faibles-emissions-mobilite-zfe-m/
MARSEILLE-AIX EN PROVENCE,Métropole d'Aix-Marseille-Provence,200054807,Métropole,200054807-ZFE-002,2023-09-01,2032-08-31,V4,24/7,V4,24/7,V4,24/7,V4,24/7,V4,24/7,https://datamedia.ampmetropole.fr/documents/ZFE/Arretes-ZFE-Marseille.pdf,https://ampmetropole.fr/missions/strategie-environnementale/qualite-de-lair/zone-a-faibles-emissions-mobilite-zfe-m/
SAINT-ETIENNE,Saint-Étienne Métropole,244200770,Métropole,244200770-ZFE-001,2022-01-31,2024-12-31,,,NC,24/7,NC,24/7,,,,,https://fr.calameo.com/read/000544113e25e9f1669fb,
SAINT-ETIENNE,Saint-Étienne Métropole,244200770,Métropole,244200770-ZFE-002,2025-01-01,2026-12-31,,,V4,24/7,V4,24/7,,,,,https://fr.calameo.com/read/000544113e25e9f1669fb,
SAINT-ETIENNE,Saint-Étienne Métropole,244200770,Métropole,244200770-ZFE-003,2027-01-01,,,,V3,24/7,V3,24/7,,,,,https://fr.calameo.com/read/000544113e25e9f1669fb,
BORDEAUX,Bordeaux Métropole,243300316,Métropole,243300316-ZFE-001,2025-01-01,,NC,Mo-Su 00:00-23:59; PH off,NC,Mo-Su 00:00-23:59; PH off,NC,Mo-Su 00:00-23:59; PH off,,,NC,Mo-Su 00:00-23:59; PH off,https://participation.bordeaux-metropole.fr/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhaV1poWkRObGJqZHRaRzlyWVRCM2RqSmpiWE00ZHpSdk0ybDRhd1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpQVpOcGJteHBibVU3SUdacGJHVnVZVzFsUFNKQ1RWOWFSa1ZmUVhKeVpYUmxJRTRsTTBZeU5FMUZWRUZCU2xCUU1ERXlOREJmTWpCRVJVTXlNREkwTG5Ca1ppSTdJR1pwYkdWdVlXMWxLajFWVkVZdE9DY25RazFmV2taRlgwRnljaVZETXlWQlFYUWxRek1sUVRrbE1qQk9KVU15SlVJd01qUk5SVlJCUVVwUVVEQXhNalF3WHpJd1JFVkRNakF5TkM1d1pHWUdPd1pVT2hGamIyNTBaVzUwWDNSNWNHVkpJaFJoY0hCc2FXTmhkR2x2Ymk5d1pHWUdPd1pVT2hGelpYSjJhV05sWDI1aGJXVTZDbXh2WTJGcyIsImV4cCI6IjQzMjQtMTItMjNUMTA6MzI6NDEuOTIwWiIsInB1ciI6ImJsb2Jfa2V5In19--97c6abd0774486ea17424651933f679db79bdebe/BM_ZFE_Arr%C3%AAt%C3%A9%20N%C2%B024METAAJPP01240_20DEC2024.pdf,
