Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2017/08/17 00:00:00;2017/08/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;27.0;27.255;µg-m3;83.0;100;83.0;A;1;48.868772;2.311231
2017/08/18 00:00:00;2017/08/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;38.0;37.9083333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/19 00:00:00;2017/08/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;32.0;32.0416666667;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/20 00:00:00;2017/08/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;32.0;31.6625;µg-m3;100.0;100;100.0;R;1;48.868772;2.311231
2017/08/21 00:00:00;2017/08/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;37.0;37.0458333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/22 00:00:00;2017/08/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;39.0;38.9083333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/23 00:00:00;2017/08/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;38.0;37.975;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/24 00:00:00;2017/08/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;43.0;42.5875;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/25 00:00:00;2017/08/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;54.0;54.2958333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/26 00:00:00;2017/08/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;53.0;52.7458333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2017/08/27 00:00:00;2017/08/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;45.0;44.7791666667;µg-m3;100.0;100;100.0;R;1;48.868772;2.311231
2017/08/28 00:00:00;2017/08/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. journalière;58.0;58.3833333333;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
